GeneID,UniqueNAME,NewAnnotation_ASMTVC2.best_model,coevcoew_logfc,coevcoew_pval,coevlacz_logfc,coevlacz_pval,coewvlacz_logfc,coewvlacz_pval
KH2013:KH.C2.478,KH2013:KH.C2.478,KYOTOGRAIL2005.62.40.1,1.218144026,0.008335563,0.621039662,0.472633202,-0.597104364,0.401580362
KH2013:KH.C2.506,DHCR7,KYOTOGRAIL2005.280.5.1,1.486569174,0.039610953,0.784820503,0.574423512,-0.701748671,0.551754343
KH2013:KH.C2.574,MARCO,KYOTOGRAIL2005.15.99.1,3.128423718,0.0000316,2.331038612,0.0153051,-0.797385106,0.598549739
KH2013:KH.C2.725,KH2013:KH.C2.725_RBPJ,KYOTOGRAIL2005.101.10.1,1.363146867,0.039610953,0.595783051,0.686550236,-0.767363816,0.429273394
KH2013:KH.C2.757,TRPC3/6/7,KYOTOGRAIL2005.286.5.1,1.323412786,0.031693291,0.92973236,0.345886062,-0.393680426,0.781670424
KH2013:KH.C2.769,KH2013:KH.C2.769,KYOTOGRAIL2005.117.21.1,2.332264272,0.00000111,0.75618826,0.422348832,-1.576076013,0.002903402
KH2013:KH.C2.965,GLP1R,KYOTOGRAIL2005.70.10.1,1.623028775,0.004752754,0.920019173,0.359009113,-0.703009602,0.454124807
KH2013:KH.C3.110,RAPSN,KYOTOGRAIL2005.128.4.1,1.529727538,0.003834012,0.825231264,0.382802373,-0.704496275,0.39909265
KH2013:KH.C3.13,CHRDL1/2,KYOTOGRAIL2005.20.45.1,1.17297294,0.00529374,1.050497269,0.05666404,-0.122475672,0.942456308
KH2013:KH.C3.21,KH2013:KH.C3.21_HSPG2,KYOTOGRAIL2005.60.12.1,1.72688201,0.00253071,0.428232818,0.811146156,-1.298649192,0.054413344
KH2013:KH.C3.390,KH2013:KH.C3.390_DSCAM/2/3/4,KYOTOGRAIL2005.998.1.1,3.07369734,2.41E-08,2.142630154,0.000613933,-0.931067186,0.247816951
KH2013:KH.C3.405,SETD3,KYOTOGRAIL2005.1221.2.1,1.211310688,0.005125895,0.12842594,0.958154162,-1.082884748,0.024508765
KH2013:KH.C3.414,KH2013:KH.C3.414_UBE2J1,KYOTOGRAIL2005.60.28.1,2.170938527,0.014138817,0.055540291,0.990358844,-2.115398236,0.027075782
KH2013:KH.C3.435,KH2013:KH.C3.435_QDR1/2/3,KYOTOGRAIL2005.626.2.1,1.612545135,0.017307707,2.561868664,0.000267182,0.949323529,0.31831769
KH2013:KH.C3.456,JPH1/2/3,KYOTOGRAIL2005.22.55.1,1.72061874,0.010706691,0.742531867,0.609275618,-0.978086873,0.30741871
KH2013:KH.C3.474,KH2013:KH.C3.474_MDGA1/2,KYOTOGRAIL2005.74.15.1,1.014569648,0.014963722,0.661317352,0.337281631,-0.353252296,0.673905289
KH2013:KH.C3.549,GEL,KYOTOGRAIL2005.57.1.1,2.001765177,0.00146269,1.267331871,0.21910103,-0.734433306,0.50570291
KH2013:KH.C3.553,SIX1/2,KYOTOGRAIL2005.871.3.1,1.491290158,0.001291142,0.781428488,0.342272236,-0.70986167,0.306312099
KH2013:KH.C3.562,MYO10,KYOTOGRAIL2005.152.13.1,2.04020401,0.000549524,0.861650123,0.45092348,-1.178553888,0.12700577
KH2013:KH.C3.751,ZKSCAN1/14/17/2/3/6,KYOTOGRAIL2005.2.32.1,2.302974014,0.006150756,1.427497653,0.31147976,-0.875476361,0.561964198
KH2013:KH.C3.774,MYO-1/2/3/5,KYOTOGRAIL2005.869.1.1,4.43874618,3.06E-12,2.60946702,0.000121663,-1.82927916,0.005854579
KH2013:KH.C3.815,DSEL,KYOTOGRAIL2005.272.6.2,1.591754746,0.001194562,0.019774225,0.994512993,-1.571980521,0.002683978
KH2013:KH.C4.224,ALCAM,KYOTOGRAIL2005.44.9.1,1.17979745,0.019627317,0.85404321,0.287017734,-0.32575424,0.786017392
KH2013:KH.C4.27,KH2013:KH.C4.27_TMEM47,KYOTOGRAIL2005.349.2.1,1.719036855,0.021230839,0.973031608,0.47085048,-0.746005247,0.558540705
KH2013:KH.C4.42,CAPN1/11/2/3/8/9,KYOTOGRAIL2005.1345.1.1,1.602872772,0.000367704,0.93398322,0.211401446,-0.668889552,0.344229644
KH2013:KH.C4.44,GALNT4,KYOTOGRAIL2005.243.2.1,1.580066319,0.001082021,0.751171554,0.4060646,-0.828894764,0.2193542
KH2013:KH.C4.449,ADAMTSL1/3,KYOTOGRAIL2005.99.54.1,1.380953678,0.030647551,1.224497987,0.174594178,-0.156455691,0.949502643
KH2013:KH.C4.456,MYADML2,KYOTOGRAIL2005.48.51.1,1.307733614,0.015678781,0.269774962,0.89344439,-1.037958652,0.105933934
KH2013:KH.C4.678,KH2013:KH.C4.678,KYOTOGRAIL2005.458.1.1,1.353278545,0.010436656,0.119915627,0.972364748,-1.233362917,0.035515904
KH2013:KH.C4.680,ACTA2,KYOTOGRAIL2005.34.9.1,2.222342228,0.000174104,1.236595978,0.214804549,-0.98574625,0.263780666
KH2013:KH.C4.700,ADAMTSL4,KYOTOGRAIL2005.99.41.1,2.068893524,0.011804663,-0.157792036,0.978855316,-2.226685559,0.009857937
KH2013:KH.C4.75,USP2,KYOTOGRAIL2005.34.43.1,2.125964262,0.001291142,1.318526366,0.228702408,-0.807437896,0.478275707
KH2013:KH.C5.103,WSCD1,KYOTOGRAIL2005.171.20.1,1.234020773,0.013047006,1.074799446,0.118970559,-0.159221326,0.933150992
KH2013:KH.C5.253,KCNIP1/2/3/4,KYOTOGRAIL2005.457.7.1,1.673982926,0.008689679,1.042671598,0.331736065,-0.631311328,0.589765424
KH2013:KH.C5.404,KH2013:KH.C5.404_MBL1/2,KYOTOGRAIL2005.86.39.1,4.760590265,4.41E-10,3.191471324,0.000138844,-1.569118941,0.101435858
KH2013:KH.C5.437,KH2013:KH.C5.437,KYOTOGRAIL2005.131.2.1,1.800813322,0.010436656,1.003653976,0.429734165,-0.797159346,0.494768773
KH2013:KH.C5.500,ZAR1L,KYOTOGRAIL2005.53.28.1,1.485585715,0.019225617,0.783225674,0.517161345,-0.702360041,0.492906538
KH2013:KH.C5.522,KH2013:KH.C5.522_SLC6A13,KYOTOGRAIL2005.42.23.1,1.202731511,0.046686962,0.190278699,0.9466836,-1.012452813,0.145857562
KH2013:KH.C5.62,KH2013:KH.C5.62_ODF3L2,KYOTOGRAIL2005.27.39.1,2.442238452,0.00000231,0.410420994,0.811019399,-2.031817459,0.000229684
KH2013:KH.C5.654,SI:CH211-151O1.2,KYOTOGRAIL2005.43.64.1,2.070391295,0.002603582,0.454839356,0.851495775,-1.615551939,0.042010209
KH2013:KH.C6.11,Ci-VP,KYOTOGRAIL2005.8.113.1,2.044235427,0.005585354,1.800829975,0.066261773,-0.243405451,0.932209244
KH2013:KH.C6.157,FUN26,KYOTOGRAIL2005.216.26.1,2.614189803,0.000000396,1.737140633,0.005967215,-0.87704917,0.253065581
KH2013:KH.C6.201,KH2013:KH.C6.201,KYOTOGRAIL2005.8.89.1,1.912747951,0.00287893,0.708151608,0.627472836,-1.204596344,0.147492306
KH2013:KH.C6.25,WNT2/4/5,KYOTOGRAIL2005.216.27.1,3.436558729,0.000000396,1.895032776,0.039408839,-1.541525953,0.074859572
KH2013:KH.C6.295,ANKRD29,KYOTOGRAIL2005.8.4.1,2.953529265,0.000000431,1.933327787,0.007339989,-1.020201478,0.232214685
KH2013:KH.C6.300,SCARA3,KYOTOGRAIL2005.19.84.1,3.475391538,0.0000383,2.836282381,0.006242065,-0.639109156,0.772808174
KH2013:KH.C6.32,KH2013:KH.C6.32_POPDC2/3,KYOTOGRAIL2005.1071.1.1,1.445182355,0.046686962,0.588724519,0.733324748,-0.856457836,0.406982773
KH2013:KH.C6.45,BVES,KYOTOGRAIL2005.1787.1.1,1.978009343,0.002261303,1.361836941,0.174197378,-0.616172402,0.6344593
KH2013:KH.C6.74,SYNPO/2,KYOTOGRAIL2005.19.25.1,2.720684849,0.000927809,1.990989124,0.0887242,-0.729695725,0.683272378
KH2013:KH.C6.92,KH2013:KH.C6.92,KYOTOGRAIL2005.19.26.1,4.407869643,0.000000329,3.297610363,0.000839647,-1.11025928,0.457645032
KH2013:KH.C7.138,SLC5A1/2/4/9,KYOTOGRAIL2005.1910.1.1,1.52396618,0.045444644,0.803099887,0.587573475,-0.720866293,0.563789863
KH2013:KH.C7.21,PALLD,KYOTOGRAIL2005.1864.2.1,1.435673021,0.008381283,0.231055476,0.923707937,-1.204617545,0.051758555
KH2013:KH.C7.285,CHRNA1,KYOTOGRAIL2005.221.2.1,2.862726785,0.0000765,1.99549793,0.042234156,-0.867228855,0.51296955
KH2013:KH.C7.360,KH2013:KH.C7.360_NMUR1/2,KYOTOGRAIL2005.221.16.1,1.383937759,0.039342953,0.934122784,0.399794752,-0.449814975,0.758389807
KH2013:KH.C7.388,KH2013:KH.C7.388_CHRNB1,KYOTOGRAIL2005.83.28.1,2.180139668,0.0000183,0.900098451,0.336405191,-1.280041217,0.039153519
KH2013:KH.C7.487,KH2013:KH.C7.487,KYOTOGRAIL2005.458.2.1,1.655496024,0.015367359,0.757698283,0.591905271,-0.897797741,0.378630101
KH2013:KH.C7.498,ADRA1D,KYOTOGRAIL2005.107.6.1,1.932058045,0.00000547,1.191621734,0.039888385,-0.74043631,0.237183372
KH2013:KH.C7.499,CEP104,KYOTOGRAIL2005.78.8.1,1.234263297,0.028030943,0.939278661,0.28458205,-0.294984635,0.8438931
KH2013:KH.C8.239,MYL10/2/5/7,KYOTOGRAIL2005.91.19.1,2.234228362,0.009682407,2.55287337,0.009534475,0.318645008,0.919851584
KH2013:KH.C8.274,ANO1/3/4/5/6/7,KYOTOGRAIL2005.411.1.1,2.020176306,0.00011173,0.684889072,0.551905975,-1.335287234,0.033621977
