GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KH2013:KH.C1.485,1.2851418216,0.0270472128,0.4523960423,0.0597865813,0.952325613,NA
KH2013:KH.C1.461,2.6505210913,0.0111875508,0.5763342285,0.0194115675,0.9845127826,NA
KH2013:KH.C1.805,19.0031393363,-0.5983935698,0.6418060545,-0.9323588733,0.3511510915,NA
KH2013:KH.C1.749,110.0751048709,-0.414945103,0.4928079022,-0.8420017235,0.3997869887,0.7617971146
KH2013:KH.C1.481,241.9224470051,-0.4657352357,0.3463142806,-1.3448340476,0.1786788324,0.5504367633
KH2013:KH.C1.1014,28.2807585407,-0.8749634714,0.586526974,-1.4917702171,0.1357593941,0.4872219747
KH2013:KH.C1.540,11.8844017157,-0.3140019547,0.6350491013,-0.4944530337,0.6209862677,NA
KH2013:KH.C1.637,1272.5461321068,0.0691192137,0.2390475981,0.2891441466,0.7724710716,0.9404179941
KH2013:KH.C1.867,125.5507412218,-0.3680609116,0.5054827552,-0.7281374247,0.4665294664,0.8029706271
KH2013:KH.C1.119,13.0684201393,-0.586660127,0.6241768533,-0.9398940764,0.3472718961,NA
KH2013:KH.C1.746,127.706225543,0.8255860515,0.6016770093,1.3721415956,0.1700193627,0.5369909063
KH2013:KH.C1.220,114.3831286915,-0.1666435159,0.3680366238,-0.4527905786,0.6506995484,0.8937614902
KH2013:KH.C1.670,447.2050783796,-0.0324730106,0.3293993132,-0.0985825084,0.9214697586,0.9816937807
KH2013:KH.C1.832,86.8266896785,-0.5921284311,0.5004126417,-1.1832803205,0.2366980695,0.6233693616
KH2013:KH.C1.1276,26.3029428602,-0.3349757883,0.653226622,-0.5128018011,0.6080899698,0.8772440352
KH2013:KH.C1.1157,1012.1446170125,0.7373743016,0.3302163473,2.2330036282,0.0255487051,0.204770694
KH2013:KH.C1.285,212.5129286498,0.5076804443,0.4342829522,1.1690084579,0.2424002237,0.6287101658
KH2013:KH.C1.583,784.0231419178,0.4404940526,0.2869974713,1.5348360062,0.1248241159,0.4686803709
KH2013:KH.C1.1045,414.7634342286,0.1429157963,0.3619761332,0.394821048,0.6929749602,0.9104927728
KH2013:KH.C1.430,28.5821634156,0.4243710007,0.5321604031,0.7974494123,0.4251900717,0.7781075431
KH2013:KH.C1.1275,2380.4524483164,0.4272259895,0.2525701219,1.6915143654,0.0907386065,0.3982276271
KH2013:KH.C1.1224,604.0475848081,0.4755377094,0.2859664432,1.6629143758,0.0963295763,0.4115403833
KH2013:KH.C1.146,2072.0721285714,-0.3286081089,0.2363030632,-1.390621452,0.1643402477,0.5291240216
KH2013:KH.C1.1075,50.5574703925,-1.1806998214,0.5339254199,-2.2113571998,0.0270111112,0.2118279292
KH2013:KH.C1.913,21.783652324,-0.161816664,0.6595746178,-0.2453348865,0.8061971415,0.9502858807
KH2013:KH.C1.993,1086.6963572076,-0.2709861262,0.3871368252,-0.6999750697,0.4839428737,0.8129694193
KH2013:KH.C1.47,62.9512776716,-0.8478153606,0.6107924536,-1.3880580147,0.16511938,0.529749633
KH2013:KH.C1.1302,53.6721048181,0.0127700749,0.508891023,0.0250939284,0.9799800431,0.9948119839
KH2013:KH.C1.411,281.6152508344,0.1328933625,0.2984462993,0.4452840018,0.6561145278,0.8961816081
KH2013:KH.C1.124,4098.8102131669,0.406902467,0.1896670084,2.1453518477,0.031924726,0.2322827419
KH2013:KH.C1.178,44.2922097419,0.0599436788,0.5002900899,0.1198178417,0.9046274481,0.9769465772
KH2013:KH.C1.1270,25.9062799186,-0.9626165409,0.6412113919,-1.5012467854,0.1332917431,0.4828883857
