foxf1_ko_10hpf_rnaseq_june_6	foxf_ko_10hpf_rnaseq_may_31	lacz1_ko_10hpf_rnaseq_may_31	lacz2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_may_31
KH2013:KH.C10.569	531	1231	742	432	534	1813
KH2013:KH.C10.57	80	117	67	46	68	210
KH2013:KH.C10.570	36	89	48	30	38	120
KH2013:KH.C10.571	4	101	54	1	4	132
KH2013:KH.C10.572	49	116	36	32	58	170
KH2013:KH.C10.574	68	202	103	60	100	305
KH2013:KH.C10.575	31	50	26	11	15	80
KH2013:KH.C10.576	215	651	323	150	209	847
KH2013:KH.C10.577	26	62	33	31	17	96
KH2013:KH.C10.578	0	0	0	0	0	0
KH2013:KH.C10.579	154	498	249	107	173	709
KH2013:KH.C10.58	245	586	325	267	313	1139
KH2013:KH.C10.580	42	106	39	40	32	134
